Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Classification
X3,2022,Africa,Black,Petrol,Manual,1.8,10590,105924,Low
M5,2013,North America,Grey,Petrol,Manual,4.2,31068,62719,Low
X3,2022,Europe,Black,Petrol,Manual,2.7,197678,49919,Low
3 Series,2016,Africa,Black,Petrol,Automatic,2.3,189931,71591,Low
X5,2020,Europe,Blue,Diesel,Manual,4.1,127392,86328,High
X1,2012,Middle East,White,Electric,Automatic,2.1,180074,42552,Low
3 Series,2015,Europe,Red,Hybrid,Manual,2.4,191042,89156,High
X1,2021,South America,Grey,Diesel,Automatic,3.0,37616,79927,Low
M3,2011,South America,White,Petrol,Automatic,2.7,75468,39495,High
M5,2019,Europe,Red,Petrol,Automatic,3.5,46076,38271,Low
X3,2022,North America,Grey,Electric,Manual,2.7,21607,74435,High
X3,2023,Asia,Blue,Petrol,Automatic,2.9,87564,103988,Low
M3,2018,Asia,Silver,Electric,Manual,4.5,66023,73953,Low
X3,2014,South America,White,Hybrid,Manual,4.6,195047,106673,Low
M3,2015,Africa,Blue,Diesel,Manual,4.4,152887,42738,Low
X3,2021,Asia,Grey,Hybrid,Manual,4.5,122956,53097,Low
X6,2021,South America,Blue,Petrol,Automatic,3.5,27659,60936,Low
3 Series,2021,Asia,White,Hybrid,Manual,3.8,157700,87186,Low
5 Series,2021,Asia,Black,Diesel,Automatic,3.5,133836,38861,High
3 Series,2013,Asia,Silver,Hybrid,Automatic,4.2,10678,33086,Low
X1,2023,Asia,White,Hybrid,Automatic,3.4,84606,89868,Low
X5,2023,Asia,Silver,Electric,Automatic,1.9,34635,87087,Low
i8,2020,North America,Blue,Electric,Manual,4.3,191305,70057,High
X3,2019,Middle East,Grey,Electric,Manual,4.2,17934,111173,Low
X1,2016,Middle East,Blue,Diesel,Automatic,4.4,157249,56309,Low
X1,2021,North America,Grey,Petrol,Automatic,2.2,184417,76909,Low
7 Series,2018,Asia,Red,Hybrid,Manual,2.5,31798,58752,Low
i8,2016,North America,Blue,Hybrid,Manual,2.5,145112,82447,Low
X1,2023,Asia,Silver,Petrol,Manual,3.3,66862,80705,High
i8,2010,South America,Red,Hybrid,Automatic,2.0,49903,92666,High
7 Series,2010,Asia,White,Petrol,Automatic,2.8,28668,65268,Low
i8,2018,Asia,Red,Petrol,Manual,2.1,61031,116846,Low
X6,2020,South America,Blue,Diesel,Automatic,2.4,135437,114860,High
X5,2023,North America,Blue,Hybrid,Manual,4.0,83959,43850,High
7 Series,2018,Africa,Silver,Electric,Manual,4.5,198286,96859,High
X6,2013,Asia,Red,Petrol,Automatic,1.6,74914,107293,Low
M5,2022,North America,Black,Petrol,Automatic,3.5,56293,58700,Low
X3,2018,Africa,Silver,Hybrid,Automatic,1.6,60574,62253,High
X1,2012,North America,Black,Electric,Manual,1.8,80289,100980,Low
M5,2016,North America,Silver,Electric,Automatic,4.0,67272,78120,Low
M5,2015,North America,White,Petrol,Manual,4.1,54534,94839,Low
3 Series,2017,North America,Blue,Petrol,Manual,4.3,86002,100678,Low
5 Series,2020,Europe,Blue,Diesel,Manual,3.2,165669,38170,High
X1,2018,Africa,White,Petrol,Automatic,4.5,104441,79035,Low
3 Series,2023,South America,White,Petrol,Automatic,2.1,190846,56836,Low
M3,2014,Africa,Black,Hybrid,Manual,2.4,180096,33093,Low
X3,2010,North America,Black,Electric,Manual,2.0,191879,50319,Low
X1,2012,Africa,White,Electric,Automatic,4.3,185093,108905,Low
i8,2019,Africa,Silver,Hybrid,Manual,2.3,187214,31212,Low
3 Series,2021,South America,Black,Electric,Automatic,2.0,162323,72641,Low
5 Series,2017,Europe,Silver,Electric,Manual,3.7,69712,82957,High
M3,2024,Africa,White,Hybrid,Manual,1.8,2655,91248,High
X3,2020,Asia,Silver,Hybrid,Manual,1.7,66746,113110,Low
i3,2015,Asia,Red,Diesel,Manual,1.9,90245,34249,High
7 Series,2017,North America,White,Hybrid,Manual,1.5,7334,77120,Low
X1,2018,Asia,Black,Hybrid,Manual,3.9,13275,79969,High
X1,2013,South America,Blue,Hybrid,Manual,3.5,128136,101839,Low
X5,2010,Africa,Black,Diesel,Automatic,2.2,187108,105887,Low
X5,2023,South America,White,Diesel,Manual,2.3,162977,31112,Low
7 Series,2010,South America,Black,Petrol,Manual,4.3,52940,51743,Low
X1,2019,Europe,White,Hybrid,Automatic,3.3,106294,102607,High
i8,2013,Europe,Red,Diesel,Manual,3.9,106314,113159,Low
M3,2021,Asia,Blue,Diesel,Automatic,3.1,139850,34852,Low
7 Series,2023,Asia,Blue,Diesel,Automatic,2.3,52061,96938,Low
X5,2016,North America,White,Petrol,Manual,4.9,88027,103663,High
3 Series,2011,Asia,Blue,Diesel,Automatic,3.5,196822,74108,Low
M5,2012,Asia,Black,Electric,Automatic,2.0,65212,48461,Low
X3,2010,Middle East,Red,Diesel,Automatic,2.9,35130,113525,Low
M3,2014,Europe,Blue,Hybrid,Automatic,2.7,129742,111245,High
X3,2010,South America,Blue,Electric,Automatic,2.2,73482,61329,Low
X5,2017,Africa,Silver,Petrol,Automatic,4.8,32268,68638,High
X5,2010,North America,Grey,Diesel,Manual,4.6,53211,116928,High
M3,2020,South America,Grey,Petrol,Manual,2.2,154481,100103,High
7 Series,2010,South America,Silver,Hybrid,Manual,2.7,147526,35576,Low
X1,2011,South America,Blue,Diesel,Manual,4.2,183658,52709,Low
i3,2011,North America,Grey,Electric,Automatic,2.2,131725,73410,Low
M5,2021,South America,Black,Electric,Manual,3.6,50949,40782,Low
i3,2015,Europe,Grey,Electric,Manual,3.9,20717,79002,Low
5 Series,2016,Middle East,Silver,Petrol,Manual,3.8,135036,38344,High
M3,2014,Europe,White,Petrol,Manual,4.0,29746,103056,High
M3,2010,Europe,Black,Hybrid,Manual,4.0,87426,60458,High
M5,2010,Europe,Red,Diesel,Manual,4.9,28560,32486,Low
X5,2012,North America,White,Diesel,Manual,2.7,68627,65633,High
3 Series,2023,Africa,Black,Petrol,Manual,4.6,95366,101460,Low
i3,2011,Africa,White,Diesel,Manual,1.6,97680,115240,Low
X3,2014,Africa,Red,Diesel,Manual,2.5,198457,114845,Low
i3,2021,Europe,White,Hybrid,Automatic,1.7,129001,105938,Low
X3,2019,South America,Red,Electric,Manual,3.8,171481,42383,High
i8,2015,Africa,Red,Diesel,Manual,1.9,60913,43439,Low
i8,2016,Europe,Blue,Petrol,Manual,4.5,191604,59627,High
5 Series,2013,Asia,Blue,Hybrid,Automatic,3.8,45722,74501,Low
M3,2016,Middle East,Blue,Electric,Manual,1.6,38412,81786,Low
3 Series,2020,South America,Grey,Diesel,Manual,4.0,175591,64007,High
M3,2017,North America,Silver,Petrol,Manual,4.5,164356,36497,Low
X6,2020,Asia,Black,Hybrid,Automatic,3.8,45712,90061,Low
X1,2010,Africa,Grey,Diesel,Automatic,1.6,100516,49598,Low
i3,2024,South America,White,Hybrid,Automatic,4.5,57231,47994,Low
M5,2015,Asia,White,Petrol,Automatic,4.1,95889,52950,Low
M5,2017,Middle East,Grey,Diesel,Automatic,2.8,55643,96914,Low
i3,2014,South America,Grey,Diesel,Automatic,2.7,22417,98122,Low
M5,2013,Asia,Silver,Diesel,Automatic,3.2,193534,70907,High
M3,2011,South America,Grey,Petrol,Manual,4.5,137855,96941,Low
i8,2015,Asia,Black,Hybrid,Automatic,2.4,6365,30074,Low
M3,2015,North America,Grey,Electric,Automatic,1.9,167647,88780,Low
3 Series,2020,Middle East,Red,Petrol,Manual,4.5,105037,73453,High
i3,2024,South America,Blue,Hybrid,Manual,1.6,128016,107658,High
X6,2010,Europe,White,Hybrid,Manual,4.7,7762,61914,Low
X6,2018,South America,Grey,Diesel,Manual,2.6,40764,116735,Low
i3,2021,Europe,Silver,Hybrid,Automatic,3.3,24238,111742,Low
M5,2020,Africa,Grey,Petrol,Automatic,2.0,195911,64700,Low
X3,2015,Middle East,Grey,Diesel,Automatic,4.7,134039,70672,Low
3 Series,2022,Middle East,Silver,Petrol,Automatic,4.1,116572,47284,Low
M3,2012,Europe,White,Diesel,Manual,4.7,194359,93837,High
7 Series,2013,Africa,Red,Diesel,Manual,3.9,143864,74401,High
3 Series,2021,South America,Grey,Hybrid,Automatic,2.1,37246,112265,Low
7 Series,2020,Asia,White,Petrol,Automatic,2.6,188234,71570,Low
i8,2013,Europe,White,Hybrid,Automatic,3.2,110079,70118,High
i3,2012,Middle East,Silver,Petrol,Automatic,3.6,53579,80919,Low
M5,2019,Asia,Blue,Hybrid,Automatic,4.7,164678,49840,Low
3 Series,2012,South America,Silver,Petrol,Manual,2.8,137794,99478,Low
X1,2024,Europe,Grey,Diesel,Manual,4.0,87263,71666,High
i3,2012,Africa,Red,Diesel,Manual,4.9,86785,99512,Low
X3,2013,South America,Grey,Petrol,Manual,2.0,156944,55881,Low
M5,2016,Africa,White,Diesel,Automatic,4.5,39593,109963,Low
X5,2013,Europe,White,Diesel,Automatic,3.0,162617,79299,Low
i3,2018,Africa,Blue,Diesel,Manual,4.1,180348,46141,High
X1,2010,Europe,Silver,Electric,Manual,2.5,97558,101553,Low
3 Series,2017,Africa,Silver,Diesel,Manual,2.7,124960,115369,Low
X6,2016,Europe,Black,Electric,Manual,1.6,28972,89763,High
X5,2011,Europe,Blue,Petrol,Automatic,4.9,141616,117994,Low
i3,2017,Asia,Black,Diesel,Manual,4.3,42089,99138,Low
X5,2010,North America,Silver,Diesel,Manual,1.8,102510,107741,Low
X1,2020,Europe,Grey,Petrol,Automatic,5.0,64144,39207,Low
5 Series,2021,North America,Blue,Hybrid,Automatic,3.6,166252,52030,Low
X5,2018,Asia,Black,Petrol,Manual,4.5,106246,72271,Low
X1,2018,Europe,Black,Petrol,Manual,1.7,25059,42749,Low
M3,2011,Africa,White,Hybrid,Manual,2.9,49603,80312,Low
i3,2016,Middle East,Black,Hybrid,Manual,3.8,134173,89891,Low
i3,2024,Asia,Red,Petrol,Manual,1.9,42153,62609,Low
i3,2023,Europe,Grey,Hybrid,Automatic,3.2,136858,54036,Low
X6,2019,Africa,Grey,Hybrid,Manual,3.0,199006,116494,High
3 Series,2012,Africa,Red,Electric,Automatic,2.3,190156,116827,High
X6,2016,Africa,Grey,Petrol,Automatic,2.6,160714,115705,High
5 Series,2021,North America,White,Petrol,Manual,4.9,128242,51552,Low
7 Series,2019,North America,Silver,Hybrid,Automatic,2.5,40052,32230,Low
i8,2018,Asia,Grey,Petrol,Manual,2.2,126505,92606,High
i8,2013,Middle East,Silver,Hybrid,Automatic,3.4,149450,97301,High
i8,2021,Africa,Black,Diesel,Manual,3.8,164473,102381,High
5 Series,2010,South America,Red,Electric,Automatic,4.0,9951,39129,High
3 Series,2011,North America,Grey,Hybrid,Automatic,4.1,146359,105042,Low
i8,2010,South America,Red,Diesel,Manual,1.6,76908,48463,Low
X6,2023,South America,Grey,Petrol,Automatic,2.9,167411,94959,High
X5,2021,Asia,Silver,Diesel,Manual,4.2,48241,106595,Low
X3,2014,Middle East,White,Petrol,Automatic,4.7,95070,83106,Low
7 Series,2014,North America,Silver,Electric,Automatic,3.6,182618,116107,High
X3,2020,South America,Silver,Hybrid,Automatic,1.7,158566,114790,Low
i8,2016,South America,Red,Hybrid,Manual,2.9,32573,42409,Low
X1,2018,Asia,Blue,Diesel,Automatic,1.8,138433,112394,Low
7 Series,2018,North America,White,Diesel,Manual,4.1,30215,40062,Low
i8,2012,Europe,Blue,Electric,Manual,1.7,67114,68714,Low
3 Series,2012,Europe,Blue,Diesel,Manual,2.2,154736,78565,Low
5 Series,2012,Middle East,Blue,Electric,Automatic,3.0,121611,76420,Low
M3,2013,Middle East,White,Petrol,Manual,3.1,74067,67269,Low
X5,2017,Africa,Blue,Hybrid,Manual,2.9,110631,110049,Low
3 Series,2015,North America,Blue,Petrol,Automatic,3.1,187396,71905,High
i3,2017,South America,Grey,Petrol,Automatic,4.0,174519,31948,Low
X6,2010,North America,Blue,Petrol,Automatic,2.8,36327,66518,High
3 Series,2017,South America,Silver,Electric,Manual,3.4,144332,102814,Low
5 Series,2013,Middle East,Grey,Electric,Manual,2.6,163437,69488,High
i8,2020,Asia,White,Hybrid,Manual,2.7,111872,34401,Low
X1,2010,North America,Red,Hybrid,Manual,3.6,4768,35905,Low
X3,2017,Europe,Red,Electric,Manual,3.2,84155,70778,High
X6,2013,South America,Red,Petrol,Manual,4.0,142408,60324,Low
X1,2015,Middle East,Silver,Hybrid,Automatic,3.5,117990,58708,Low
M5,2017,South America,Silver,Diesel,Manual,4.3,57377,91637,High
i8,2013,Africa,Silver,Petrol,Manual,3.1,136263,116643,Low
X1,2023,Europe,Silver,Diesel,Manual,3.2,112416,53115,Low
3 Series,2012,North America,White,Hybrid,Manual,3.8,110051,82258,High
7 Series,2023,South America,Black,Electric,Manual,2.3,179767,47128,High
X5,2018,Europe,Silver,Diesel,Manual,2.9,124134,37111,Low
M5,2012,Europe,Black,Petrol,Automatic,3.7,124564,119792,Low
